"Status","Name","DisplayName","Time"
"Stopped","AarSvc_a0080","AarSvc_a0080","06-28-23 04:57:05"
"Running","AdobeARMservice","Adobe Acrobat Update Service","06-28-23 04:57:05"
"Stopped","AJRouter","AllJoyn Router Service","06-28-23 04:57:05"
"Stopped","ALG","Application Layer Gateway Service","06-28-23 04:57:05"
"Running","AMD Crash Defender Service","AMD Crash Defender Service","06-28-23 04:57:05"
"Running","AMD External Events Utility","AMD External Events Utility","06-28-23 04:57:05"
"Running","AnyDesk","AnyDesk Service","06-28-23 04:57:05"
"Running","Apache2.4","Apache2.4","06-28-23 04:57:05"
"Stopped","AppIDSvc","Application Identity","06-28-23 04:57:05"
"Running","Appinfo","Application Information","06-28-23 04:57:05"
"Stopped","AppMgmt","Application Management","06-28-23 04:57:05"
"Stopped","AppReadiness","App Readiness","06-28-23 04:57:05"
"Stopped","AppVClient","Microsoft App-V Client","06-28-23 04:57:05"
"Running","AppXSvc","AppX Deployment Service (AppXSVC)","06-28-23 04:57:05"
"Running","arwsrvc","Realtime Behavior Detection","06-28-23 04:57:05"
"Stopped","AssignedAccessManagerSvc","AssignedAccessManager Service","06-28-23 04:57:05"
"Running","AudioEndpointBuilder","Windows Audio Endpoint Builder","06-28-23 04:57:05"
"Running","Audiosrv","Windows Audio","06-28-23 04:57:05"
"Running","AUEPLauncher","AMD User Experience Program Launcher","06-28-23 04:57:05"
"Stopped","autotimesvc","Cellular Time","06-28-23 04:57:05"
"Stopped","AxInstSV","ActiveX Installer (AxInstSV)","06-28-23 04:57:05"
"Stopped","BcastDVRUserService_a0080","BcastDVRUserService_a0080","06-28-23 04:57:05"
"Running","Behavior Detection System","Behavior Detection System","06-28-23 04:57:05"
"Running","BFE","Base Filtering Engine","06-28-23 04:57:05"
"Stopped","BITS","Background Intelligent Transfer Service","06-28-23 04:57:05"
"Stopped","BluetoothUserService_a0080","BluetoothUserService_a0080","06-28-23 04:57:05"
"Running","BrokerInfrastructure","Background Tasks Infrastructure Service","06-28-23 04:57:05"
"Running","Browser","Computer Browser","06-28-23 04:57:05"
"Stopped","BTAGService","Bluetooth Audio Gateway Service","06-28-23 04:57:05"
"Running","BthAvctpSvc","AVCTP service","06-28-23 04:57:05"
"Stopped","bthserv","Bluetooth Support Service","06-28-23 04:57:05"
"Running","camsvc","Capability Access Manager Service","06-28-23 04:57:05"
"Stopped","CaptureService_a0080","CaptureService_a0080","06-28-23 04:57:05"
"Running","cbdhsvc_a0080","cbdhsvc_a0080","06-28-23 04:57:05"
"Running","CDPSvc","Connected Devices Platform Service","06-28-23 04:57:05"
"Running","CDPUserSvc_a0080","CDPUserSvc_a0080","06-28-23 04:57:05"
"Running","CertPropSvc","Certificate Propagation","06-28-23 04:57:05"
"Stopped","ClipSVC","Client License Service (ClipSVC)","06-28-23 04:57:05"
"Stopped","cloudidsvc","Microsoft Cloud Identity Service","06-28-23 04:57:05"
"Stopped","COMSysApp","COM+ System Application","06-28-23 04:57:05"
"Stopped","ConsentUxUserSvc_a0080","ConsentUxUserSvc_a0080","06-28-23 04:57:05"
"Running","Core Mail Protection","Core Mail Protection","06-28-23 04:57:05"
"Stopped","Core Scanning Server","Core Scanning Server","06-28-23 04:57:05"
"Running","Core Scanning ServerEx","Core Scanning ServerEx","06-28-23 04:57:05"
"Running","CoreMessagingRegistrar","CoreMessaging","06-28-23 04:57:05"
"Stopped","cphs","Intel(R) Content Protection HECI Service","06-28-23 04:57:05"
"Stopped","CredentialEnrollmentManagerUserSvc_a0080","CredentialEnrollmentManagerUserSvc_a0080","06-28-23 04:57:05"
"Running","CryptSvc","Cryptographic Services","06-28-23 04:57:05"
"Stopped","CscService","Offline Files","06-28-23 04:57:05"
"Running","CWAUpdaterService","Citrix Workspace Updater Service","06-28-23 04:57:05"
"Running","CxAudMsg","Conexant Audio Message Service","06-28-23 04:57:05"
"Running","DcomLaunch","DCOM Server Process Launcher","06-28-23 04:57:05"
"Stopped","defragsvc","Optimize drives","06-28-23 04:57:05"
"Stopped","DeviceAssociationBrokerSvc_a0080","DeviceAssociationBrokerSvc_a0080","06-28-23 04:57:05"
"Running","DeviceAssociationService","Device Association Service","06-28-23 04:57:05"
